,power
1032,0.382
1033,-0.317
1034,-0.449
1035,-0.444
1036,-0.352
1037,-0.357
1038,-0.346
1039,-0.367
1040,-0.353
1041,-0.339
1042,-0.351
1043,-0.354
1044,-0.347
1045,-0.343
1046,-0.357
1047,-0.362
1048,-0.348
1049,-0.35
1050,-0.346
1051,-0.338
1052,-0.347
1053,-0.348
1054,-0.349
1055,-0.346
1056,-0.344
1057,-0.342
1058,-0.35
1059,-0.352
1060,-0.328
1061,-0.358
1062,-0.354
1063,-0.356
1064,-0.358
1065,-0.362
1066,-0.362
1067,-0.348
1068,-0.368
1069,-0.353
1070,-0.352
1071,-0.342
1072,-0.358
1073,-0.359
1074,-0.342
1075,-0.355
1076,-0.355
1077,-0.352
1078,-0.347
1079,-0.352
1080,-0.352
1081,-0.35
1082,-0.34
1083,-0.353
1084,-0.342
1085,-0.348
1086,-0.363
1087,-0.435
1088,-0.502
1089,-0.38
1090,-0.223
1091,-0.067
1092,0.177
1093,0.345
1094,0.572
1095,0.897
1096,1.036
1097,1.436
1098,2.069
1099,2.135
1100,2.051
1101,3.21
1102,3.141
1103,4.271
1104,4.633
1105,4.183
1106,4.774
1107,4.763
1108,4.007
1109,4.339
1110,5.342
1111,5.889
1112,4.344
1113,3.787
1114,3.254
1115,2.577
1116,2.636
1117,3.04
1118,2.635
1119,3.367
1120,1.473
1121,1.109
1122,1.334
1123,1.807
1124,1.337
1125,1.159
1126,0.785
1127,0.244
1128,-0.156
1129,-0.459
1130,-0.496
1131,-0.386
1132,-0.351
1133,-0.369
1134,-0.352
1135,-0.353
1136,-0.348
1137,-0.361
1138,-0.344
1139,-0.359
1140,-0.35
1141,-0.351
1142,-0.35
1143,-0.348
1144,-0.343
1145,-0.356
1146,-0.357
1147,-0.339
1148,-0.352
1149,-0.374
1150,-0.354
1151,-0.356
1152,-0.346
1153,-0.347
1154,-0.346
1155,-0.349
1156,-0.336
1157,-0.351
1158,-0.343
1159,-0.34
1160,-0.359
1161,-0.344
1162,-0.337
1163,-0.341
1164,-0.345
1165,-0.335
1166,-0.338
1167,-0.357
1168,-0.344
1169,-0.334
1170,-0.356
1171,-0.327
1172,-0.359
1173,-0.351
1174,-0.338
1175,-0.348
1176,-0.34
1177,-0.343
1178,-0.345
1179,-0.347
1180,-0.348
1181,-0.335
1182,-0.35
1183,-0.492
1184,-0.302
1185,0.712
1186,1.99
1187,2.752
1188,3.684
1189,3.474
1190,4.376
1191,8.846
1192,12.583
1193,17.997
1194,27.415
1195,23.438
1196,27.3
1197,30.606
1198,29.75
1199,22.631
1200,23.546
1201,32.26
1202,40.262
1203,41.496
1204,36.515
1205,41.487
1206,62.94
1207,59.388
1208,52.169
1209,71.721
1210,71.517
1211,83.341
1212,71.318
1213,61.744
1214,46.792
1215,31.048
1216,39.053
1217,49.944
1218,55.779
1219,46.829
1220,37.61
1221,27.258
1222,18
1223,10.275
1224,4.838
1225,0.626
1226,-0.289
1227,-0.462
1228,-0.341
1229,-0.338
1230,-0.327
1231,-0.345
1232,-0.342
1233,-0.327
1234,-0.331
1235,-0.33
1236,-0.33
1237,-0.331
1238,-0.354
1239,-0.343
1240,-0.324
1241,-0.341
1242,-0.325
1243,-0.337
1244,-0.33
